wezel,srednie_cisnienie_bazowe_m
10,17.138992543118327
15,35.8491237844811
20,10.068360488488091
35,42.48615857903618
40,6.03589592518544
50,7.939020181858352
60,65.26000172902529
601,72.5795706443774
61,72.57930847673538
101,38.20971966162609
103,37.48289900491711
105,40.50836779798366
107,42.36348098354642
109,43.36901891015558
111,45.026356772086196
113,47.08521702754313
115,43.93472931195873
117,44.40531964587292
119,48.395785359584856
120,48.91833621556895
121,50.21574093917296
123,46.83886377222457
125,46.20339897929439
127,32.35938107193702
129,33.88158633781397
131,47.59322834301243
139,39.18855407502407
141,46.86365723338847
143,48.297956583663584
145,47.88626735949469
147,42.643814999119535
149,43.445472801006126
151,38.525554153628846
153,28.573032113071456
157,44.468892381365286
159,45.88419232862893
161,45.985567339794706
163,45.572619326609114
164,45.572618239175505
166,47.70621469463928
167,48.1714292261963
169,48.17158992718151
171,47.573952684943436
173,47.56688701596554
177,43.86152299920259
179,43.864334021423296
181,43.85991957509874
183,42.96793131122596
184,41.107285613226686
185,41.317726930378036
187,42.73980491120511
189,45.338680797193184
191,39.442585609848024
193,41.58506512812353
195,42.349898808682
197,40.336408530633335
199,45.281388296841
201,44.40149265424087
203,43.77077494348698
204,40.02392375408838
205,38.25919181932979
206,43.93832607185306
207,41.63875516844202
208,39.20898661994933
209,44.42235763012723
211,41.58748019549669
213,41.5666494646306
215,41.52512807546223
217,41.82564641466305
219,42.432765608422095
225,41.21471643624218
229,40.34293608075144
231,42.018420075285434
237,39.276228118378135
239,39.53639031502818
241,39.53599209932125
243,39.2311051924962
247,38.000583763694955
249,38.00065651394088
251,34.33173572094278
253,32.45886346339473
255,35.21351767483226
257,43.58657659152977
259,41.13471632245736
261,48.64539964412807
263,48.70087540953024
265,46.79592194775478
267,40.38697041333102
269,46.5853306396413
271,44.486192953569734
273,42.221928940638215
275,41.383060065400954
